Dataset,#TrainingRelease,%Training,%TrainDefective,%TestDefective,Classifier,Sampling,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
storm,7,0.294,0.251,0.014,IBk,SMOTE,Backward Selection,57.000,21.000,933.000,11.000,0.731,0.838,0.990,0.764
storm,8,0.356,0.218,0.046,Naive Bayes,No Sampling,No Selection,85.000,343.000,1840.000,183.000,0.199,0.317,0.644,0.127
storm,8,0.356,0.218,0.046,Naive Bayes,No Sampling,Backward Selection,82.000,335.000,1848.000,186.000,0.197,0.306,0.648,0.123
storm,8,0.356,0.218,0.046,Naive Bayes,Oversampling,No Selection,85.000,340.000,1843.000,183.000,0.200,0.317,0.647,0.128
storm,8,0.356,0.218,0.046,Naive Bayes,Oversampling,Backward Selection,82.000,330.000,1853.000,186.000,0.199,0.306,0.646,0.125
storm,8,0.356,0.218,0.046,Naive Bayes,Undersampling,No Selection,86.000,353.000,1830.000,182.000,0.196,0.321,0.646,0.124
storm,8,0.356,0.218,0.046,Naive Bayes,Undersampling,Backward Selection,82.000,348.000,1835.000,186.000,0.191,0.306,0.649,0.116
storm,8,0.356,0.218,0.046,Naive Bayes,SMOTE,No Selection,87.000,351.000,1832.000,181.000,0.199,0.325,0.650,0.128
storm,8,0.356,0.218,0.046,Naive Bayes,SMOTE,Backward Selection,84.000,348.000,1835.000,184.000,0.194,0.313,0.654,0.121
storm,8,0.356,0.218,0.046,Random Forest,No Sampling,No Selection,88.000,315.000,1868.000,180.000,0.218,0.328,0.657,0.151
storm,8,0.356,0.218,0.046,Random Forest,No Sampling,Backward Selection,98.000,391.000,1792.000,170.000,0.200,0.366,0.676,0.137
storm,8,0.356,0.218,0.046,Random Forest,Oversampling,No Selection,90.000,259.000,1924.000,178.000,0.258,0.336,0.605,0.192
storm,8,0.356,0.218,0.046,Random Forest,Oversampling,Backward Selection,100.000,371.000,1812.000,168.000,0.212,0.373,0.608,0.153
storm,8,0.356,0.218,0.046,Random Forest,Undersampling,No Selection,97.000,367.000,1816.000,171.000,0.209,0.362,0.670,0.147
storm,8,0.356,0.218,0.046,Random Forest,Undersampling,Backward Selection,103.000,453.000,1730.000,165.000,0.185,0.384,0.689,0.120
storm,8,0.356,0.218,0.046,Random Forest,SMOTE,No Selection,93.000,323.000,1860.000,175.000,0.224,0.347,0.665,0.160
storm,8,0.356,0.218,0.046,Random Forest,SMOTE,Backward Selection,101.000,404.000,1779.000,167.000,0.200,0.377,0.672,0.138
storm,8,0.356,0.218,0.046,IBk,No Sampling,No Selection,76.000,300.000,1883.000,192.000,0.202,0.284,0.617,0.124
storm,8,0.356,0.218,0.046,IBk,No Sampling,Backward Selection,91.000,371.000,1812.000,177.000,0.197,0.340,0.673,0.129
storm,8,0.356,0.218,0.046,IBk,Oversampling,No Selection,75.000,298.000,1885.000,193.000,0.201,0.280,0.612,0.122
storm,8,0.356,0.218,0.046,IBk,Oversampling,Backward Selection,84.000,367.000,1816.000,184.000,0.186,0.313,0.632,0.112
storm,8,0.356,0.218,0.046,IBk,Undersampling,No Selection,80.000,338.000,1845.000,188.000,0.191,0.299,0.625,0.115
storm,8,0.356,0.218,0.046,IBk,Undersampling,Backward Selection,96.000,446.000,1737.000,172.000,0.177,0.358,0.662,0.106
storm,8,0.356,0.218,0.046,IBk,SMOTE,No Selection,80.000,318.000,1865.000,188.000,0.201,0.299,0.619,0.126
storm,8,0.356,0.218,0.046,IBk,SMOTE,Backward Selection,95.000,390.000,1793.000,173.000,0.196,0.354,0.672,0.130
storm,9,0.504,0.186,0.006,Naive Bayes,No Sampling,No Selection,5.000,57.000,1453.000,47.000,0.081,0.096,0.702,0.053
storm,9,0.504,0.186,0.006,Naive Bayes,No Sampling,Backward Selection,4.000,66.000,1444.000,48.000,0.057,0.077,0.629,0.028
storm,9,0.504,0.186,0.006,Naive Bayes,Oversampling,No Selection,5.000,55.000,1455.000,47.000,0.083,0.096,0.705,0.056
